,Number of sequences,Mean length,Median,Execution time
0,25.0,60.0,60.0,18.82343101501465
1,50.0,60.0,60.0,51.8765287399292
2,75.0,60.0,60.0,88.00365877151489
3,100.0,60.0,60.0,136.05087113380432
4,125.0,60.0,60.0,157.78643250465393
5,150.0,60.0,60.0,194.21765756607056
6,175.0,60.0,60.0,239.23222637176514
7,200.0,60.0,60.0,287.6593174934387
8,225.0,60.0,60.0,336.1255624294281
9,250.0,60.0,60.0,402.21833753585815
